movie,genre,plot
Our Flag Means Death,"['Action', ' Adventure', ' Biography']",The year is 1717. Wealthy landowner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.
Aquaman,"['Action', ' Adventure', ' Fantasy']","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
The Flash,"['Action', ' Adventure', ' Drama']","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
K.G.F: Chapter 2,"['Action', ' Crime', ' Drama']","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Attack on Titan,"['Animation', ' Action', ' Adventure']","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action', ' Adventure', ' Fantasy']","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Chicago Fire,"['Action', ' Drama']","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
9-1-1,"['Action', ' Drama', ' Thriller']","Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations."
Star Trek: Discovery,"['Action', ' Adventure', ' Drama']","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
Eternals,"['Action', ' Adventure', ' Fantasy']","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
The Mandalorian,"['Action', ' Adventure', ' Fantasy']","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
What If...?,"['Animation', ' Action', ' Adventure']","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
Morbius,"['Action', ' Adventure', ' Horror']","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead."
Moonfall,"['Action', ' Adventure', ' Sci-Fi']",A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.
Inhumans,"['Action', ' Adventure', ' Sci-Fi']",An isolated community of superhumans fight to protect themselves.
Reacher,"['Action', ' Crime', ' Drama']",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.
Avengers: Endgame,"['Action', ' Adventure', ' Drama']","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
No Time to Die,"['Action', ' Adventure', ' Thriller']","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
Magnum P.I.,"['Action', ' Adventure', ' Crime']",An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.
9-1-1: Lone Star,"['Action', ' Drama', ' Thriller']","A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems."
The Adam Project,"['Action', ' Adventure', ' Comedy']","After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future."
Firestarter,"['Action', ' Horror', ' Sci-Fi']",A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.
Cobra Kai,"['Action', ' Comedy', ' Drama']","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
One Piece,"['Animation', ' Action', ' Adventure']","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
Memory,"['Action', ' Thriller']",An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.
Loki,"['Action', ' Adventure', ' Fantasy']",The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
The Suicide Squad,"['Action', ' Adventure', ' Comedy']","Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
The King's Man,"['Action', ' Adventure', ' Thriller']","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions."
The Gray Man,"['Action', ' Thriller']","When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins."
U.S. Marshals,"['Action', ' Crime', ' Thriller']","U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder."
Killing Eve,"['Action', ' Adventure', ' Drama']","After a series of events, the lives of a security operative and an assassin become inextricably linked."
FBI,"['Action', ' Crime', ' Drama']",Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.
The Contractor,"['Action', ' Thriller']","A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization."
The Dark Knight,"['Action', ' Crime', ' Drama']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Spy x Family,"['Animation', ' Action', ' Comedy']","A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together."
Pirates of the Caribbean: Salazar's Revenge,"['Action', ' Adventure', ' Fantasy']",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
The Matrix Resurrections,"['Action', ' Sci-Fi']","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more."
The Witcher,"['Action', ' Adventure', ' Drama']","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Superman and Lois,"['Action', ' Adventure', ' Drama']","The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice and parenthood in today's society."
S.W.A.T.,"['Action', ' Adventure', ' Crime']",Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
Jack Ryan,"['Action', ' Drama', ' Thriller']",Up-and-coming CIA analyst Jack Ryan is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.
The Book of Boba Fett,"['Action', ' Adventure', ' Sci-Fi']",Bounty hunter Boba Fett and mercenary Fennec Shand navigate the underworld when they return to Tatooine to claim Jabba the Hutt's old turf.
Star Trek: The Next Generation,"['Action', ' Adventure', ' Sci-Fi']","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
Free Guy,"['Action', ' Adventure', ' Comedy']","A bank teller discovers that he's actually an NPC inside a brutal, open world video game."
Peacemaker,"['Action', ' Adventure', ' Comedy']","Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
Chicago P.D.,"['Action', ' Crime', ' Drama']","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit."
Sonic the Hedgehog,"['Action', ' Adventure', ' Comedy']","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
NCIS: Los Angeles,"['Action', ' Crime', ' Drama']","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
Wrath of Man,"['Action', ' Crime', ' Thriller']","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week."
Venom: Let There Be Carnage,"['Action', ' Adventure', ' Sci-Fi']","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution."
Arcane,"['Animation', ' Action', ' Adventure']","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
Shang-Chi and the Legend of the Ten Rings,"['Action', ' Adventure', ' Fantasy']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
Avengers: Infinity War,"['Action', ' Adventure', ' Sci-Fi']",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Vikings: Valhalla,"['Action', ' Adventure', ' Drama']","Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror."
Star Wars: The Clone Wars,"['Animation', ' Action', ' Adventure']",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
Nobody,"['Action', ' Crime', ' Drama']","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
The Lord of the Rings: The Rings of Power,"['Action', ' Adventure', ' Drama']","Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
FBI: Most Wanted,"['Action', ' Crime', ' Drama']",It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.
Lightyear,"['Animation', ' Action', ' Adventure']",The story of Buzz Lightyear and his adventures to infinity and beyond.
The Equalizer,"['Action', ' Crime', ' Drama']",An enigmatic figure who uses her extensive skills to help those with nowhere else to turn.
Hawkeye,"['Action', ' Adventure', ' Crime']","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
Den of Thieves,"['Action', ' Crime', ' Drama']",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
Star Trek,"['Action', ' Adventure', ' Sci-Fi']","In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
Daredevil,"['Action', ' Crime', ' Drama']","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Blade Runner 2049,"['Action', ' Drama', ' Mystery']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Pirates of the Caribbean: Dead Man's Chest,"['Action', ' Adventure', ' Fantasy']","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Jurassic Park,"['Action', ' Adventure', ' Sci-Fi']",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Fantastic Four,"['Action', ' Adventure', ' Sci-Fi']",One of Marvel's most iconic families makes it to the big screen: the Fantastic Four.
The Umbrella Academy,"['Action', ' Adventure', ' Comedy']","A family of former child heroes, now grown apart, must reunite to continue to protect the world."
Demon Slayer: Kimetsu no Yaiba,"['Animation', ' Action', ' Adventure']","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Resident Evil,"['Action', ' Horror', ' Sci-Fi']","Nearly three decades after the discovery of the T-virus, an outbreak reveals the Umbrella Corporation's dark secrets. Based on the horror franchise."
Aquaman 2,"['Action', ' Adventure', ' Fantasy']",Plot unknown. Sequel to the 2018 film 'Aquaman.'
Thor: Ragnarok,"['Action', ' Adventure', ' Comedy']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Bullet Train,"['Action', ' Thriller']",Five assassins aboard a fast moving bullet train find out their missions have something in common.
Money Heist,"['Action', ' Crime', ' Drama']",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Buffy the Vampire Slayer,"['Action', ' Drama', ' Fantasy']","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
Queen of the South,"['Action', ' Crime', ' Drama']",Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
Station 19,"['Action', ' Drama', ' Romance']","This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington."
Black Adam,"['Action', ' Fantasy', ' Sci-Fi']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
Zombieland,"['Action', ' Comedy', ' Horror']","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
Spider-Man,"['Action', ' Adventure', ' Sci-Fi']","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
Agents of S.H.I.E.L.D.,"['Action', ' Adventure', ' Drama']","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
Captain Marvel,"['Action', ' Adventure', ' Sci-Fi']",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
Inception,"['Action', ' Adventure', ' Sci-Fi']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
RRR,"['Action', ' Drama']",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920's.
Guardians of the Galaxy,"['Action', ' Adventure', ' Comedy']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
The Last Duel,"['Action', ' Drama', ' History']",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.
The Fifth Element,"['Action', ' Adventure', ' Sci-Fi']","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
SEAL Team,"['Action', ' Drama', ' War']","The lives of the elite Navy SEALs as they train, plan and execute the most dangerous, high-stakes missions the United States of America can ask."
Gods of Egypt,"['Action', ' Adventure', ' Fantasy']","Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."
Zack Snyder's Justice League,"['Action', ' Adventure', ' Fantasy']","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
Star Wars,"['Action', ' Adventure', ' Fantasy']","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Gotham,"['Action', ' Crime', ' Drama']",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
The Wheel of Time,"['Action', ' Adventure', ' Drama']","Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
Star Trek: Deep Space Nine,"['Action', ' Adventure', ' Drama']","In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
Pirates of the Caribbean: On Stranger Tides,"['Action', ' Adventure', ' Fantasy']","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Snowpiercer,"['Action', ' Drama', ' Sci-Fi']","Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out."
Hawaii Five-0,"['Action', ' Crime', ' Drama']","When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0."
The Hunt,"['Action', ' Horror', ' Thriller']","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt."
Ms. Marvel,"['Action', ' Adventure', ' Comedy']",New Jersey raised Kamala Khan learns she has polymorphous powers.
Blacklight,"['Action', ' Thriller']","Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect."
Justified,"['Action', ' Crime', ' Drama']","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Tenet,"['Action', ' Adventure', ' Sci-Fi']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Pirates of the Caribbean: At World's End,"['Action', ' Adventure', ' Fantasy']","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
Black Widow,"['Action', ' Adventure', ' Sci-Fi']",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
Dune: Part Two,"['Action', ' Adventure', ' Drama']","Duke Paul Atreides joins the Fremen and begins a spiritual and martial journey to become Muad'dib, while trying to prevent the terrible future he's witnessed: a Holy War in his name, spreading throughout the known universe."
The Lord of the Rings: The Fellowship of the Ring,"['Action', ' Adventure', ' Drama']",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Stargate SG-1,"['Action', ' Adventure', ' Drama']","A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates."
Spider-Man: Homecoming,"['Action', ' Adventure', ' Sci-Fi']","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Smallville,"['Action', ' Adventure', ' Drama']","A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
Mission: Impossible - Dead Reckoning - Part One,"['Action', ' Adventure', ' Thriller']",Seventh entry in the long-running Mission: Impossible series.
Arrow,"['Action', ' Adventure', ' Crime']","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
Fast & Furious 9,"['Action', ' Crime', ' Thriller']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
Black Panther: Wakanda Forever,"['Action', ' Adventure', ' Drama']",A sequel that will continue to explore the world of Wakanda and all the characters introduced in the 2018 film.
Titans,"['Action', ' Adventure', ' Crime']",A team of young superheroes combat evil and other perils.
Prison Break,"['Action', ' Crime', ' Drama']","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
The Quick and the Dead,"['Action', ' Romance', ' Thriller']","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
1917,"['Action', ' Drama', ' War']","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
NCIS: Hawai'i,"['Action', ' Crime', ' Mystery']",Follow a team of Naval criminal investigators who operate on the Hawaiian islands.
Resident Evil: Welcome to Raccoon City,"['Action', ' Horror', ' Sci-Fi']","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City."
Snake Eyes,"['Action', ' Adventure', ' Crime']",A G.I. Joe spin-off centered around the character of Snake Eyes.
Star Trek: Voyager,"['Action', ' Adventure', ' Sci-Fi']","Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home."
Star Wars: Episode I - The Phantom Menace,"['Action', ' Adventure', ' Fantasy']","Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
Spider-Man: Far from Home,"['Action', ' Adventure', ' Sci-Fi']","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
Avatar: The Last Airbender,"['Animation', ' Action', ' Adventure']","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Heat,"['Action', ' Crime', ' Drama']",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
Quantum Leap,"['Action', ' Adventure', ' Drama']","During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time."
Gladiator,"['Action', ' Adventure', ' Drama']",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Never Back Down,"['Action', ' Drama', ' Sport']",A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.
